,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
298,DERYA,9569700,VLCC,IRAN,Entered MEG,2026-07-07,Dark/Unknown Route,Ballast,,0,bbl,EOPL,,,,319295,"2,013",CHINA,319.295,VLCC,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
283,PETUNIA,9820336,MR,IRAN,Entered MEG,2026-07-08,Iranian Route,Ballast,,0,bbl,Shahid Beheshti Port,Iran,Bandar Mahshahr,Iran,49288,"2,018",REPUBLIC OF KOREA,49.288,LR1,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
282,NEREIDA,9163269,Handy/MR1,COMOROS,Entered MEG,2026-07-08,Iranian Route,Ballast,,0,bbl,Kamaran,Yemen,Duqm,Oman,35994,"1,998",JAPAN,35.994,MR,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
277,FELIX,9181194,VLCC,GABON,Entered MEG,2026-07-08,Iranian Route,Ballast,,0,bbl,EOPL,,Kharg Island,Iran,308491,"2,000",REPUBLIC OF KOREA,308.491,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
286,ROCKY,9196448,Short Sea Tankers,MALI,Entered MEG,2026-07-08,Dark/Unknown Route,Ballast,,0,bbl,Yemen,Yemen,,,12180,"1,998",JAPAN,12.18,GP,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
280,LUMINA OCEAN,9430715,Short Sea Tankers,CURACAO,Entered MEG,2026-07-08,Iranian Route,Ballast,,0,bbl,Muscat,Oman,Iran,Iran,13937,"2,012",CHINA,13.937,GP,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
288,TIMA,9237797,VLCC,GUYANA,Entered MEG,2026-07-08,Iranian Route,Ballast,,0,bbl,Changxing,China,Mideast Gulf,,317000,"2,003",REPUBLIC OF KOREA,317.0,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
262,HABRUT,9500730,VLCC,MARSHALL ISLANDS,Entered MEG,2026-07-09,Dark/Unknown Route,Ballast,,0,bbl,Kiire,Japan,Ras Tanura,Saudi Arabia,319439,"2,012",REPUBLIC OF KOREA,319.439,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
270,OLYMPIC LADY,9731169,VLCC,MARSHALL ISLANDS,Entered MEG,2026-07-09,Dark/Unknown Route,Ballast,,0,bbl,Caofeidian,China,Al Shaheen,Qatar,299507,"2,017",REPUBLIC OF KOREA,299.507,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
261,ELPIS,9212400,Handy/MR1,COMOROS,Entered MEG,2026-07-09,Dark/Unknown Route,Ballast,,0,bbl,Bandar Bushehr,Iran,,,35775,"2,000",REPUBLIC OF KOREA,35.775,MR,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
271,SEA SHORE,9510553,Short Sea Tankers,GAMBIA,Entered MEG,2026-07-09,IMO Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,,,9118,"2,009",CHINA,9.118,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
264,METRO MISTRAL,1017048,Panamax/LR1,GREECE,Entered MEG,2026-07-09,Dark/Unknown Route,Ballast,,0,bbl,Karachi,Pakistan,Jubail Industrial Port,Saudi Arabia,74949,"2,025",CHINA,74.949,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
258,BRAVO,9305403,Short Sea Tankers,LIBERIA,Entered MEG,2026-07-09,Iranian Route,Laden,DPP,69024,bbl,Fujairah,United Arab Emirates,,,10052,"2,004",TURKIYE,10.052,GP,products,tagged,69024.0,False,False,False,False,False,clean fleet
243,AL JABRIYAH II,9329708,VLCC,KUWAIT,Entered MEG,2026-07-10,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Mina Al-Ahmadi,Kuwait,317570,"2,007",REPUBLIC OF KOREA,317.57,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
233,MADESTAR,9289726,VLCC,PANAMA,Entered MEG,2026-07-11,Iranian Route,Ballast,,0,bbl,Lanqiao,China,,,319180,"2,005",REPUBLIC OF KOREA,319.18,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
240,TONDA,9274654,Handy/MR1,MARSHALL ISLANDS,Entered MEG,2026-07-11,Dark/Unknown Route,Ballast,,0,bbl,Novorossiysk,Russian Federation,Jubail Industrial Port,Saudi Arabia,36803,"2,005",CHINA,36.803,MR,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
237,SC FALCON,9746190,Handy/MR1,HONG KONG,Entered MEG,2026-07-11,Iranian Route,Ballast,,0,bbl,Kandla,India,Mina Al-Ahmadi,Kuwait,33984,"2,016",JAPAN,33.984,MR,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
234,MARAL,9251896,MR,CURACAO,Entered MEG,2026-07-11,Iranian Route,Laden,CPP,323969,bbl,Sohar Light.,Oman,Bandar Abbas,Iran,46764,"2,004",CROATIA,46.764,LR1,products,tagged,323969.0,True,True,True,False,True,dark fleet
222,BNEIDER,9595010,Aframax/LR2,KUWAIT,Entered MEG,2026-07-12,Dark/Unknown Route,Ballast,,0,bbl,Kutch Light.,India,Mina Al-Ahmadi,Kuwait,110587,"2,012",REPUBLIC OF KOREA,110.587,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
219,APNOIA,9448152,Panamax/LR1,MALTA,Entered MEG,2026-07-12,Dark/Unknown Route,Ballast,,0,bbl,Incheon Port,South Korea,Jubail Industrial Port,Saudi Arabia,74812,"2,009",REPUBLIC OF KOREA,74.812,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
207,AL SALMI,9534793,VLCC,KUWAIT,Entered MEG,2026-07-13,Dark/Unknown Route,Ballast,,0,bbl,Gulf of Oman,,Mina Al-Ahmadi,Kuwait,319660,"2,011",REPUBLIC OF KOREA,319.66,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
217,OLYM,9212759,Suezmax/LR3,GUYANA,Entered MEG,2026-07-13,Dark/Unknown Route,Ballast,,0,bbl,EOPL,,,,160383,"2,001",REPUBLIC OF KOREA,160.383,VLCC,ballast,loading_state,0.0,True,True,True,True,True,dark fleet
197,BELMA,9289491,VLCC,CURACAO,Entered MEG,2026-07-14,Iranian Route,Ballast,,0,bbl,Offshore Hong Kong,,,,320821,"2,005",REPUBLIC OF KOREA,320.821,ULCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
195,ANABEL,9246279,VLCC,GAMBIA,Entered MEG,2026-07-14,Iranian Route,Ballast,,0,bbl,EOPL,,,,299997,"2,002",JAPAN,299.997,VLCC,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
198,BENEDICT,9293155,Aframax/LR2,CAMEROON,Entered MEG,2026-07-14,Iranian Route,Ballast,,0,bbl,Port Klang,Malaysia,Lavan,Iran,106062,"2,005",REPUBLIC OF KOREA,106.062,AFRA,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
201,OSTRIA,9260067,Handy/MR1,BOTSWANA,Entered MEG,2026-07-14,Iranian Route,Ballast,,0,bbl,Sohar Light.,Oman,,,40271,"2,003",REPUBLIC OF KOREA,40.271,MR,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
193,AETHER SAIL,9277371,Short Sea Tankers,MALI,Entered MEG,2026-07-14,Iranian Route,Ballast,,0,bbl,Sohar Light.,Oman,,,14796,"2,003",CHINA,14.796,GP,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
