,Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
125,NISSOS KYTHNOS,9853852,VLCC,MARSHALL ISLANDS,Entered MEG,2026-07-25,Dark/Unknown Route,Ballast,,0,bbl,Kiire,Japan,Al Shaheen,Qatar,318744,"2,019",REPUBLIC OF KOREA,318.744,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
127,AL KOUT,9653434,VLCC,KUWAIT,Entered MEG,2026-07-24,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Mina Al-Ahmadi,Kuwait,317019,"2,014",REPUBLIC OF KOREA,317.019,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
134,DEEPBLUE,9350862,MR,PANAMA,Entered MEG,2026-07-23,Dark/Unknown Route,Laden,CPP,85705,bbl,Fujairah,United Arab Emirates,,,50921,"2,006",REPUBLIC OF KOREA,50.921,LR1,products,tagged,85705.0,False,False,False,True,False,clean fleet
137,NOBLE,9389253,VLCC,HONG KONG,Entered MEG,2026-07-23,Iranian Route,Ballast,,0,bbl,Paradip,India,Al Basrah,Iraq,318440,"2,009",REPUBLIC OF KOREA,318.44,VLCC,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
138,KANHA,9308766,Short Sea Tankers,PALAU,Entered MEG,2026-07-22,Iranian Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Iran,Iran,12887,"2,005",REPUBLIC OF KOREA,12.887,GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
139,MERSIN PROSPERITY,9327554,VLCC,LIBERIA,Entered MEG,2026-07-22,Dark/Unknown Route,Ballast,,0,bbl,Changxing,China,Zirku,United Arab Emirates,299319,"2,008",JAPAN,299.319,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
140,AL KHTAM,9823534,Aframax/LR2,LIBERIA,Entered MEG,2026-07-21,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Ruwais,United Arab Emirates,114644,"2,021",CHINA,114.644,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
141,HSIN OCEAN,9155767,MR,SAO TOME AND PRINCIPE,Entered MEG,2026-07-21,Iranian Route,Laden,Veg/Bio,327938,bbl,Pasir Gudang,Malaysia,,,47363,"1,999",CROATIA,47.363,LR1,other,tagged,0.0,False,False,False,False,False,clean fleet
144,AL DERWAZAH,9653410,VLCC,KUWAIT,Entered MEG,2026-07-20,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Mina Al-Ahmadi,Kuwait,316884,"2,014",REPUBLIC OF KOREA,316.884,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
145,ANGOLA B,9623685,VLCC,LIBERIA,Entered MEG,2026-07-20,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Zirku,United Arab Emirates,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
146,BAHRAIN PROSPERITY,9596947,VLCC,LIBERIA,Entered MEG,2026-07-20,Dark/Unknown Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Al Basrah,Iraq,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
147,CYPRUS PROSPERITY,9595216,VLCC,LIBERIA,Entered MEG,2026-07-20,Dark/Unknown Route,Ballast,,0,bbl,Fujairah Light.,United Arab Emirates,Zirku,United Arab Emirates,299996,"2,012",CHINA,299.996,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
148,FRANCE C,9322281,VLCC,LIBERIA,Entered MEG,2026-07-20,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Zirku,United Arab Emirates,306506,"2,007",REPUBLIC OF KOREA,306.506,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
150,NAVIG8 PERSEVERANCE,9853266,Aframax/LR2,SINGAPORE,Entered MEG,2026-07-20,Dark/Unknown Route,Ballast,,0,bbl,Gulf of Oman,,Das Island,United Arab Emirates,109998,"2,019",CHINA,109.998,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
151,NIKI,9820312,MR,IRAN,Entered MEG,2026-07-20,Iranian Route,Ballast,,0,bbl,Shahid Beheshti Port,Iran,Gulf of Oman,,49288,"2,018",REPUBLIC OF KOREA,49.288,LR1,ballast,loading_state,0.0,True,True,True,False,True,dark fleet
153,PACIFIC EXPLORER,9571052,Short Sea Tankers,MALI,Entered MEG,2026-07-20,Iranian Route,Laden,DPP,32367,bbl,Gulf of Oman,,,,5902,"2,011",CHINA,5.902,Below GP,products,tagged,32367.0,True,True,True,False,True,dark fleet
157,ARGO MARIS,9041643,Small Tankers,CURACAO,Entered MEG,2026-07-19,Iranian Route,Ballast,,0,bbl,Muscat,Oman,Bandar Abbas,Iran,1229,"1,991",JAPAN,1.229,Below GP,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
158,KAVOMALEAS,1042823,Panamax/LR1,MALTA,Entered MEG,2026-07-19,Omani Route,Ballast,,0,bbl,Fujairah,United Arab Emirates,,,74978,"2,025",CHINA,74.978,LR1,ballast,loading_state,0.0,False,False,False,False,False,clean fleet
159,KOS,1024950,Aframax/LR2,LIBERIA,Entered MEG,2026-07-19,Dark/Unknown Route,Ballast,,0,bbl,Singapore,Singapore Republic,Ras Tanura,Saudi Arabia,115026,"2,025",CHINA,115.026,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
160,LIWA V,9489039,Aframax/LR2,GAMBIA,Entered MEG,2026-07-19,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Ruwais,United Arab Emirates,105221,"2,011",REPUBLIC OF KOREA,105.221,AFRA,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
163,YONG TAI,9231511,Panamax/LR1,GAMBIA,Entered MEG,2026-07-19,Dark/Unknown Route,Ballast,,0,bbl,Zhenhai,China,Iran,Iran,72910,"2,002",REPUBLIC OF KOREA,72.91,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
164,AL SALAM II,9328168,Panamax/LR1,KUWAIT,Entered MEG,2026-07-18,Dark/Unknown Route,Ballast,,0,bbl,Kutch Light.,India,Kuwait,Kuwait,69789,"2,007",REPUBLIC OF KOREA,69.789,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
165,AL YARMOUK,9653422,VLCC,KUWAIT,Entered MEG,2026-07-18,Dark/Unknown Route,Ballast,,0,bbl,Gulf of Oman,,Mina Al-Ahmadi,Kuwait,317033,"2,014",REPUBLIC OF KOREA,317.033,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
167,KITION M,9321160,Panamax/LR1,PANAMA,Entered MEG,2026-07-18,Dark/Unknown Route,Ballast,,0,bbl,Merak,Indonesia,Ras Laffan,Qatar,74995,"2,006",JAPAN,74.995,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
169,WELL SAIL,9321938,MR,MARSHALL ISLANDS,Entered MEG,2026-07-18,Dark/Unknown Route,Laden,CPP,353462,bbl,Iran,Iran,Hamriya,United Arab Emirates,51202,"2,007",REPUBLIC OF KOREA,51.202,LR1,products,tagged,353462.0,False,False,False,True,False,clean fleet
170,ADVANTAGE PARADISE,9577056,Panamax/LR1,MARSHALL ISLANDS,Entered MEG,2026-07-17,Dark/Unknown Route,Ballast,,0,bbl,Port Moresby,Papua New Guinea,Jubail Industrial Port,Saudi Arabia,74602,"2,010",REPUBLIC OF KOREA,74.602,LR1,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
173,GOODAL,9244374,Intermediate Tankers,BAHAMAS,Entered MEG,2026-07-17,Dark/Unknown Route,Laden,Veg/Bio,112978,bbl,Pasir Gudang,Malaysia,,,17396,"2,001",JAPAN,17.396,GP,other,tagged,0.0,False,False,False,True,False,clean fleet
176,NISSOS HERACLEA,9419618,VLCC,LIBERIA,Entered MEG,2026-07-17,Dark/Unknown Route,Ballast,,0,bbl,Sohar Light.,Oman,Al Basrah,Iraq,313525,"2,009",REPUBLIC OF KOREA,313.525,VLCC,ballast,loading_state,0.0,False,False,False,True,False,clean fleet
