load_vessel_name,load_vessel_imo,discharge_vessel_name,discharge_vessel_imo,zone_name,start,end,cargo_origin_barrels_split_by_product,cargo_origin_tons_split_by_product,closest_ancestor_product,closest_ancestor_grade,ship_to_ship_id,query_zone,load_vessel_key,discharge_vessel_key,zone_label,sts_zone,sts_volume_bbl
Universal Challenger,9851854,Hafeet,9928009,Sohar Light.,2026-06-26 00:00:00,2026-06-27 00:00:00,1996461,271069,Crude,Zakum,391354056,Gulf of Oman,UNIVERSAL CHALLENGER,HAFEET,Sohar Light.,Sohar Light,1996461
Xin Yue Yang,9389772,Bahrain Prosperity,9596947,Fujairah Light.,2026-06-25 10:18:00,2026-06-28 19:39:00,1990662,270282,Crude,Zakum,391127935,Gulf of Oman,XIN YUE YANG,BAHRAIN PROSPERITY,Fujairah Light.,Fujairah Light,1990662
Universal Innovator,9829370,Al Jabriyah II,9329708,Sohar Light.,2026-06-25 00:00:00,2026-06-26 00:00:00,2000002,272851,Crude,Kuwait Crude,391354384,Gulf of Oman,UNIVERSAL INNOVATOR,AL JABRIYAH II,Sohar Light.,Sohar Light,2000002
Dht Stallion,9813448,Rotterdam Energy,9508859,Sohar Light.,2026-06-24 00:00:00,2026-06-26 00:00:00,1986831,269762,Crude,Zakum,391343294,Gulf of Oman,DHT STALLION,ROTTERDAM ENERGY,Sohar Light.,Sohar Light,1986831
Mardan,9360453,Ocean Loyalty,9375238,Fujairah Light.,2026-06-23 10:18:00,2026-06-23 13:54:00,563114,73144,Crude,Umm Lulu,391077821,Gulf of Oman,MARDAN,OCEAN LOYALTY,Fujairah Light.,Fujairah Light,563114
Agios Fanourios I,9759824,V.Advance,9845221,Fujairah Light.,2026-06-23 09:59:00,2026-06-25 12:39:00,1200001,165219,Crude,Oman,391080666,Gulf of Oman,AGIOS FANOURIOS I,V.ADVANCE,Fujairah Light.,Fujairah Light,1200001
Nissos Keros,9856074,Al Siddeeq,9853486,Sohar Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,2128352,296083,Crude,Kuwait,391047963,Gulf of Oman,NISSOS KEROS,AL SIDDEEQ,Sohar Light.,Sohar Light,2128352
Bidbid,1085473,Fujairah Energy,9723071,Fujairah Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,1900000,268545,Crude,Basrah,391047743,Gulf of Oman,BIDBID,FUJAIRAH ENERGY,Fujairah Light.,Fujairah Light,1900000
Maran Ajax,9790270,Cameroon Prosperity,9315159,Fujairah Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,2000002,275366,Crude,ME,391047651,Gulf of Oman,MARAN AJAX,CAMEROON PROSPERITY,Fujairah Light.,Fujairah Light,2000002
Advantage Vision,9933559,Cyprus Prosperity,9595216,Fujairah Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,1865620,246482,Crude,Das,391047170,Gulf of Oman,ADVANTAGE VISION,CYPRUS PROSPERITY,Fujairah Light.,Fujairah Light,1865620
Maran Mira,9870800,Al Riqqa,9534808,Fujairah Light.,2026-06-21 00:00:00,2026-06-22 00:00:00,2000002,278228,Crude,Kuwait,394747152,Gulf of Oman,MARAN MIRA,AL RIQQA,Fujairah Light.,Fujairah Light,2000002
Nissos Rhenia,9845685,Al Funtas,9653408,Sohar Light.,2026-06-20 00:00:00,2026-06-21 00:00:00,2000002,278228,Crude,Kuwait,391097218,Gulf of Oman,NISSOS RHENIA,AL FUNTAS,Sohar Light.,Sohar Light,2000002
Front Surna,1087512,Cameroon Prosperity,9315159,Fujairah Light.,2026-06-18 00:00:00,2026-06-19 00:00:00,2000002,271550,Crude,Zakum,390983361,Gulf of Oman,FRONT SURNA,CAMEROON PROSPERITY,Fujairah Light.,Fujairah Light,2000002
