Vessel Name,IMO,Vessel Classification,Flag Name,Direction,Crossing Date,Crossing Type,Loading State,Cargo Type,Quantity,Quantity Unit,Last Cargo Zone,Last Cargo Country,Next Port,Next Port Country,Deadweight,Build Year,Build Country,dwt_kdwt,afra_class,cargo_group,cargo_source,volume_bbl,sanctioned_iran,sanctioned_sdn,sanctioned_any,is_dark_route,is_dark_fleet,fleet
ALBA,9268112,Aframax/LR2,MOZAMBIQUE,Exited MEG,2026-06-30,Omani Route,Laden,Crude/Co,708843,bbl,Kharg Island,Iran,,,106360,"2,003",JAPAN,106.36,AFRA,crude,tagged,708843.0,True,True,True,False,True,dark fleet
AMAK,9244635,VLCC,MADAGASCAR,Exited MEG,2026-06-30,IMO Route,Laden,Crude/Co,2071367,bbl,Kharg Island,Iran,,,300405,"2,002",JAPAN,300.405,VLCC,crude,tagged,2071367.0,True,True,True,False,True,dark fleet
KAZIMAH III,9329693,VLCC,KUWAIT,Exited MEG,2026-06-30,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Mina Al-Ahmadi,Kuwait,Gulf of Oman,,317250,"2,006",REPUBLIC OF KOREA,317.25,VLCC,crude,tagged,2000002.0,False,False,False,True,False,clean fleet
NICHOLA,9224271,Suezmax/LR3,GUYANA,Exited MEG,2026-06-30,Iranian Route,Laden,Crude/Co,1036252,bbl,Kharg Island,Iran,,,160288,"2,002",REPUBLIC OF KOREA,160.288,VLCC,crude,tagged,1036252.0,True,True,True,False,True,dark fleet
STREAM,9569633,VLCC,IRAN,Exited MEG,2026-06-30,Dark/Unknown Route,Laden,Crude/Co,2000002,bbl,Soroosh,Iran,,,317534,"2,013",CHINA,317.534,VLCC,crude,tagged,2000002.0,True,True,True,True,True,dark fleet
AL BAHYAH,9937799,VLCC,LIBERIA,Exited MEG,2026-07-01,Omani Route,Laden,Crude/Co,1899994,bbl,Zirku,United Arab Emirates,Fujairah,United Arab Emirates,299425,"2,023",REPUBLIC OF KOREA,299.425,VLCC,crude,tagged,1899994.0,False,False,False,False,False,clean fleet
ANGOLA B,9623685,VLCC,LIBERIA,Exited MEG,2026-07-01,Omani Route,Laden,Crude/Co,2009185,bbl,Das Island,United Arab Emirates,Sohar Light.,Oman,299999,"2,012",REPUBLIC OF KOREA,299.999,VLCC,crude,tagged,2009185.0,False,False,False,False,False,clean fleet
KATSUYA,9178068,MR,GAMBIA,Exited MEG,2026-07-01,Dark/Unknown Route,Laden,Crude/Co,326234,bbl,Iran,Iran,,,47053,"1,999",JAPAN,47.053,LR1,crude,tagged,326234.0,True,True,True,True,True,dark fleet
ROTTERDAM ENERGY,9508859,VLCC,LIBERIA,Exited MEG,2026-07-01,Omani Route,Laden,Crude/Co,1986831,bbl,Zirku,United Arab Emirates,Sohar Light.,Oman,296659,"2,010",CHINA,296.659,VLCC,crude,tagged,1986831.0,False,False,False,False,False,clean fleet
FRANCE C,9322281,VLCC,LIBERIA,Exited MEG,2026-07-01,Omani Route,Laden,Crude/Co,2000002,bbl,Das Island,United Arab Emirates,Sohar Light.,Oman,306506,"2,007",REPUBLIC OF KOREA,306.506,VLCC,crude,tagged,2000002.0,False,False,False,False,False,clean fleet
AMAD,9783693,VLCC,SAUDI ARABIA,Exited MEG,2026-07-02,Dark/Unknown Route,Laden,Crude/Co,1999996,bbl,Ras Tanura,Saudi Arabia,Ningbo,China,298705,"2,018",REPUBLIC OF KOREA,298.705,VLCC,crude,tagged,1999996.0,False,False,False,True,False,clean fleet
